23:55:25.491 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: Hello
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: ubuntu-server:8080
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: keep-alive
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: 13
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: max-age=0
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: 1
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: http://ubuntu-server:8080
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: application/x-www-form-urlencoded
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8
23:55:25.498 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: 1
23:55:25.499 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: en-GB,en
23:55:25.499 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: http://ubuntu-server:8080/mywebapp/index.jsp
23:55:25.499 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: gzip, deflate
23:55:25.499 [http-bio-8080-exec-4] INFO  com.example.LogExampleServlet - User input: JSESSIONID=4C42ED56BE81CB42AFD7B38994624114
